state,sch_year,total_enrollment
AR,2021-2022,15484
CA,2021-2022,498486
CO,2021-2022,34916
CT,2021-2022,46853
DC,2021-2022,16220
DE,2021-2022,15630
FL,2021-2022,374962
GA,2021-2022,100246
HI,2021-2022,31018
IA,2021-2022,33304
IL,2021-2022,190123
IN,2021-2022,76360
KS,2021-2022,26346
LA,2021-2022,107489
MA,2021-2022,72450
MD,2021-2022,97900
MI,2021-2022,90976
MN,2021-2022,69971
MT,2021-2022,8634
NC,2021-2022,115311
ND,2021-2022,8463
NE,2021-2022,33028
NH,2021-2022,15926
NJ,2021-2022,152311
NV,2021-2022,20893
NY,2021-2022,382510
OH,2021-2022,167395
PA,2021-2022,211201
RI,2021-2022,14727
SC,2021-2022,37311
SD,2021-2022,14531
TN,2021-2022,98452
TX,2021-2022,268752
VT,2021-2022,8966
WA,2021-2022,88058
WI,2021-2022,116969
WV,2021-2022,11769
