state,sch_year,total_enrollment
AR,2020-2021,20202
CA,2020-2021,471653
CO,2020-2021,33080
CT,2020-2021,47016
DC,2020-2021,17027
DE,2020-2021,15829
FL,2020-2021,331572
GA,2020-2021,97240
HI,2020-2021,30016
IA,2020-2021,30729
IL,2020-2021,176944
IN,2020-2021,73329
KS,2020-2021,25786
LA,2020-2021,104925
MA,2020-2021,71734
MD,2020-2021,98180
MI,2020-2021,88961
MN,2020-2021,66138
MT,2020-2021,7600
NC,2020-2021,107341
ND,2020-2021,8296
NE,2020-2021,32316
NH,2020-2021,14980
NJ,2020-2021,148215
NV,2020-2021,19427
NY,2020-2021,382644
OH,2020-2021,162917
PA,2020-2021,203322
RI,2020-2021,8053
SC,2020-2021,33492
SD,2020-2021,14547
TN,2020-2021,87360
VT,2020-2021,8616
WA,2020-2021,74856
WI,2020-2021,114508
WV,2020-2021,11241
