Year,Early,Election Day,Mail,Total,early_percent,election_day_percent,mail_percent
2018,659669,1482029,162814,2304512,22.254680129182393,39.139388692740944,6.5988037251664355
2020,983985,437126,1502986,3037030,24.47106016764424,12.582221408595354,33.10530183153539
2022,378551,1037176,338748,1754475,17.74713482161024,37.15278163352081,16.183082261182875
